GENUS,SPECIES,MORPHOLOGY,MORPHOLOGY_CODE,METHOD,EXTENSION_CM_YR_RANGE,EXTENSION_CM_YR_MEAN,EXTENSION_CM_YR_SE,EXTENSION_STUDY_N,DENSITY_G_CM3_RANGE,DENSITY_G_CM3_MEDIAN/MEAN,DENSITY_G_CM3_SE,DENSITY_STUDY_N,REEF_ZONE,DEPTH_M,STUDY_REGION,STUDY_SITE,REGION_OCEAN,YEAR,REFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,spp,mounding,MD,X-radiography,1.26-1.59,1.380,0.105,13,1.22-1.41,1.327,0.056,13,,3-11,Australia,"Davies Reef, Great Barrier Reef",Great Barrier Reef,2013,"D’Olivo, J.P., McCulloch, M.T. & Judd, K. (2013). Long-term records of coral calcification across the central Great Barrier Reef: assessing the impacts of river runoff and climate change. Coral Reefs 32, 999–1012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,spp,mounding,MD,X-radiography,,1.310,0.12,6,,1.310,0.12,6,,3-11,Australia,Myrimidon Reef,Great Barrier Reef,2013,"D’Olivo, J.P., McCulloch, M.T. & Judd, K. (2013). Long-term records of coral calcification across the central Great Barrier Reef: assessing the impacts of river runoff and climate change. Coral Reefs 32, 999–1012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,spp,mounding,MD,X-radiography,0.53-2.27,1.290,0.34,245,,1.280,0.16,,,3-5,Australia,Great Barrier Reef,Great Barrier Reef,2000,"Lough, J.M. & Barnes, D.J. (2000). Environmental controls on growth of the massive coral Porites. Journal of Experimental Marine Biology and Ecology 245, 225–243.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,spp,mounding,MD,X-radiography,0.62-1.34,1.050,,,,1.200,,,lagoon,3,New Caledonia,,Western Pacific,2003,"Watanabe, T., Gagan, M. K., Corrége, T., Scott-Gagan, H., Cowley, J., & Hantoro, W. S. (2003). Oxygen isotope systematics in Diploastrea heliopora: New coral archive of tropical paleoclimate. Geochimica et Cosmochimica Acta, 67(7), 1349–1358. https://doi.org/10.1016/S0016-7037(02)01221-8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,spp,mounding,MD,vertical increase,,1.700,,,,,,,,,Samoa,Samoa,South Pacific,1924,"Mayor, A. (1924). Growth Rate of Samoan Corals. Carnegie Institute of Washington Publications, 340, 51–72.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,spp,mounding,MD,diameter,,3.100,,,,,,,,,Samoa,Samoa,South Pacific,1924,"Mayor, A. (1924). Growth Rate of Samoan Corals. Carnegie Institute of Washington Publications, 340, 51–72.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,rus,columnar,CO,Alizarin Red stain,,2.520,0.86,4,,,,,,,Philippines,Bolinao,Southeast Asia,1997,"Custodio III. HM, Yap HT (1997) Skeletal extension rates of Porites cylindrica and Porites (Synaraea) rus after transplantation to two depths. Coral Reefs 16: 267–268. Available: http://link.springer.com/10.1007/s003380050083.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,cylindrica,branching,BR,Alizarin Red stain,,3.144,0.44,4,,,,,,,Philippines,Bolinao,Southeast Asia,1997,"Custodio III. HM, Yap HT (1997) Skeletal extension rates of Porites cylindrica and Porites (Synaraea) rus after transplantation to two depths. Coral Reefs 16: 267–268. Available: http://link.springer.com/10.1007/s003380050083.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,cylindrica,branching,BR,Alizarin Red stain,,2.497,,12,,,,,reef flat,1-3,Guam,Western Pacific,Western Pacific,1981,"Neudecker, S. (1981). Growth and survival of scleractinian corals exposed to thermal effluents at Guam. 4. International Coral Reef Symposium, Manila (Philippines), 18-22 May 1981. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,cylindrica,branching,BR,energetics modelling,,,,,1.389-1.479,1.434,,,,,,,,2002,"Anthony, K. R. N., Connolly, S. R., & Willis, B. L. (2002). Comparative analysis of energy allocation to tissue and skeletal growth in corals. Limnology and Oceanography, 47(5), 1417–1429. doi:10.4319/lo.2002.47.5.1417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,compressa,branching,BR,diameter,,4.100,,,,,,,,,Hawaii,"Kaneohe Bay, Oahu",Central Pacific,1986,"Holthus, P.F. (1986) Coral reef communities of Kaneohe Bay: an overview. 19-34. Coral reef population biology. Hawaii Inst. Mar. Biol. Tech Rep. 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,compressa,branching,BR,linear extension,,3.869,,,,,,30,fringing reef,1,Hawaii,"Kaneohe Bay, Oahu",Central Pacific,2020,"Barnhill, K.A. et al. (2020). Acclimatization Drives Differences in Reef-Building Coral Calcification Rates. Diversity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,compressa,branching,BR,linear extension,,1.670,,,,,,10,patch reef,,Hawaii,"Kaneohe Bay, Oahu",Central Pacific,2003,"Rodgers, K., Cox, E., & Newtson, C. (2003). Effects of Mechanical Fracturing and Experimental Trampling on Hawaiian Corals. Environmental Management, 31(3), 377.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,compressa,branching,BR,buoyant weight,,0.813,,,,,,,,,Hawaii,"Hanauma Bay, Oahu",Central Pacific,2003,"Rodgers, K., Cox, E., & Newtson, C. (2003). Effects of Mechanical Fracturing and Experimental Trampling on Hawaiian Corals. Environmental Management, 31(3), 377.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,compressa,branching,BR,Alizarin Red stain,,3.290,,,,,,,,,Hawaii,"Coconut Island, Oahu",Central Pacific,1986,Cox E (1986) The effects of a selective corallivore on growth rates and competition for space between two species of Hawaiian corals. J Exp Mar Bio Ecol 101: 161–174. Available: http://www.sciencedirect.com/science/article/pii/002209818690047X. Accessed 10 December 2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,compressa,branching,BR,Alizarin Red stain,,2.920,,,,,,,,2,Hawaii,"Kaneohe Bay, Oahu",Central Pacific,1986,Cox E (1986) The effects of a selective corallivore on growth rates and competition for space between two species of Hawaiian corals. J Exp Mar Bio Ecol 101: 161–174. Available: http://www.sciencedirect.com/science/article/pii/002209818690047X. Accessed 10 December 2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,compressa,branching,BR,Alizarin Red stain,,2.584,0.089,15,,,,,,1.7-8,Hawaii,"Coconut Island, Oahu",Central Pacific,1999,"Grottoli A. G (1999) Variability of stable isotopes and maximum linear extension in reef-coral skeletons at Kaneohe Bay, Hawaii. Mar Biol 135: 437–449. Available: http://link.springer.com/10.1007/s002270050644.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,compressa,branching,BR,Alizarin Red stain,,3.178,0.089,15,,,,,,1.7-8,Hawaii,"Kaneohe Bay, Oahu",Central Pacific,1999,"Grottoli A. G (1999) Variability of stable isotopes and maximum linear extension in reef-coral skeletons at Kaneohe Bay, Hawaii. Mar Biol 135: 437–449. Available: http://link.springer.com/10.1007/s002270050644.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,compressa,branching,BR,X-radiography,,0.590,0.11,3,,,,,,,Hawaii,"Coconut Island, Oahu",Central Pacific,2006,"Domart-Coulon, I.J., Traylor-Knowles, N., Peters, E., Elbert, D., Downs, C.A., Price, K., Stubbs, J., McLaughlin, S., Cox, E. & Aeby, G. (2006). Comprehensive characterization of skeletal tissue growth anomalies of the finger coral Porites compressa. Coral Reefs 25, 531–543.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites,compressa,branching,BR,linear extension,0.34-1.76,0.928,0.132,35,,,,,,,Hawaii,"Waikiki Reef, Oahu",Central Pacific,1929,"Edmondson, C.H. (1929). Growth of Hawaiian corals. Bishop Museum Bulletins 58, 1–38.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites ,spp,branching,BR,X-radiography,,0.960,,,,,,,backreef,,Pacific Remote Islands,Kure Atoll,Central Pacific,ND,"Potts, D., Budd, A., & Garthwaite, R. (n.d.). Soft tissue vs. Skeletal recognition and phylogeny reconstruction in corals. Cour. FourschungInst. Senckenb, 164, 221–231.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites ,spp,branching,BR,X-radiography,,0.190,,,,,,,forereef,,Pacific Remote Islands,Kure Atoll,Central Pacific,ND,"Potts, D., Budd, A., & Garthwaite, R. (n.d.). Soft tissue vs. Skeletal recognition and phylogeny reconstruction in corals. Cour. FourschungInst. Senckenb, 164, 221–231.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites ,spp,branching,BR,vertical increase,,3.000,,,,,,,,,Samoa,Samoa,South Pacific,1924,"Mayor, A. (1924). Growth Rate of Samoan Corals. Carnegie Institute of Washington Publications, 340, 51–72.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porites ,spp,branching,BR,diameter,,4.400,,,,,,,,,Samoa,Samoa,South Pacific ,1924,"Mayor, A. (1924). Growth Rate of Samoan Corals. Carnegie Institute of Washington Publications, 340, 51–72.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psammocora,stellata,encrusting-mounding,EM,linear extension,,0.572,0.172,10,,,,,,,Hawaii,"Waikiki Reef, Oahu",Central Pacific,1929,"Edmondson, C.H. (1929). Growth of Hawaiian corals. Bishop Museum Bulletins 58, 1–38.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psammocora,haimiana,encrusting-mounding,EM,X-radiography,,2.950,0.05,2,,,,,fringing reef,3,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1974,"Buddemeier R, Maragos J, Knutson D (1974) Radiographic studies of reef coral exoskeletons: rates and patterns of coral growth. J Exp … 14. Available: http://www.sciencedirect.com/science/article/pii/0022098174900240. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psammocora,haimiana,encrusting-mounding,EM,X-radiography,,2.900,0.1,,,,,,reef flat,2-5,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1972,"Knutson, D.W., Buddemeier, R.W. & Smith, S.V. (1972). Coral chronometers: seasonal growth bands in reef corals. Science 177, 270–272.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandalolitha,robusta,free-living,FR,external growth bands; expansion,,1.200,,1,,,,,fringing reef,16,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1974,"Buddemeier R, Maragos J, Knutson D (1974) Radiographic studies of reef coral exoskeletons: rates and patterns of coral growth. J Exp … 14. Available: http://www.sciencedirect.com/science/article/pii/0022098174900240. Accessed 9 December 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seriatopora,hystrix,branching,BR,diameter,,1.105,1.425,21,,,,,lagoon,2-3,Marshall Islands,"Enewetak Atoll, Biken Island",Central Pacific,1985,"Stimson, J. (1985). The Effect of Shading by the Table Coral Acropora Hyacinthus on Understory Corals. Ecology, 66(1), 40–53. https://doi.org/10.2307/1941305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turbinaria,mesenterina,plating,PL,Alizarin Red stain,,1.050,0.2,10,0.95-1.7,1.300,0.05,10,patch reef,1-3,Australia,"Middle Reef, Cleveland bay",Great Barrier Reef,2012,"Browne, N. K. (2012). Spatial and temporal variations in coral growth on an inshore turbid reef subjected to multiple disturbances. Marine Environmental Research, 77, 71–83. https://doi.org/10.1016/j.marenvres.2012.02.005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
